"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338950141001.43","1207799884055.34","1181317814908.45","1199930074153.7","1249220689345.6","1321320121016.72","1379262045140.02","1420456077174.64","1459454842183.25","1487415967249.35","1545604518798.11","1594078485652.61","1647279148174.95","1721357832691.23","1819782422936.33","1908330623701.99","2034232992604.96","2165731918709.68","2249946696367.44","2166280624800.5","2206709419952.9","2275131271908.69","2288982786405.71","2321447665352.41","2386229926729.9","",
"Switzerland","CHE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312941220640.858","310075253057.817","309939647865.617","309549174939.42","313479699381.585","314987118033.143","316880485350.635","324206912187.946","333754068069.559","339238889038.18","352625603346.501","357726666993.762","358239626911.739","358417701199.753","368607331346.186","379806747607.476","395047577732.732","411403923673.134","420772578734.791","411811728009.252","423975891885.787","431626765441.923","436480966558.159","444201575288.995","452594661638.22","",
"Channel Islands","CHI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121479367952.326","131161259452.296","147265147903.127","157553513318.587","166546855501.871","184246751179.497","197905868459.576","210978698198.638","217795164038.462","216138059053.379","225855178776.132","233417217583.159","238475155423.953","247911017514.653","262887537118.716","277502644954.314","289726560679.454","304678843192.623","314710256686.457","311448499574.819","329368339623.658","348602266857.007","367625947894.868","383162521238.088","390419807231.136","",
"China","CHN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1721182999396.92","1880698367570.95","2149195609456.13","2448743552736.95","2768991963645.89","3073410605216.79","3378438084068.14","3690162773050.89","3979969319798.09","4283170286808.11","4644210795692.86","5029604795934.94","5486841595548.46","6036621662208.1","6644850108069.46","7399199501842.04","8338026590564.56","9521606269329.59","10437906383376.9","11401695802506","12613890833917.3","13810256092313.3","14880592037847.1","16023988452379.2","17188685792265.9","",
"Cote d'Ivoire","CIV","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39180243996.0676","39196278577.034","39100419918.1945","39025157435.7968","39341732121.6151","42145123522.6693","45402658112.1849","47102330747.4168","49424795773.7437","50224255409.0863","49185416881.6862","49245114164.1171","48423881889.444","47765541810.1744","48353904781.0575","49186195094.0965","49931780276.3926","50813094565.0273","52105191008.9121","53799367179.674","54884843974.1714","52476906028.6953","58095348125.7959","63450913527.0906","68873725453.5798","",
"Cameroon","CMR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33414647779.646","32142017714.1873","31145614133.0368","28675123284.7809","29266806488.2086","30475048823.761","31971964797.5515","33671005670.8961","35319322454.5225","36754091816.2206","38288053620.6337","40016480154.9579","41620758680.2332","43298488680.5562","44901335539.0081","45932653146.749","47413523255.0789","48957148496.5673","50369095293.9879","51342150958.969","53020345598.1617","55215701705.029","57749405977.9266","60961247834.4815","64574399632.3341","",
"Congo, Rep.","COG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12544967570.6402","12845465640.9507","13180982530.5574","13051850658.2745","12334902615.4926","12826488496.438","13376806619.6141","13293226706.6389","13790068069.6167","13433981020.5281","14451736788.5294","15001278806.2564","15688617908.716","15816207801.9869","16366079083.9546","17635392731.8501","18735135295.7855","18438703722.81","19466157004.2768","20920060528.5036","22750912218.9399","23529134761.3866","24423240906.7126","25263572638.6131","26976427946.1947","",
"Colombia","COL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258185465003.406","264064945732.088","277354482832.351","283915720748.357","300484507014.326","316117025967.048","322615932741.275","333682606687.265","335583877090.772","321475879742.457","335685091122.417","341317545585.573","349864070252.355","363572695817.874","382962107917.078","400986433731.574","427842561312.074","457366383419.6","473588276652.646","481409820261.487","500530458895.309","533512971123.156","555087935875.08","582488683372.277","609006486459.072","",
"Comoros","COM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","635776982.88138","601473006.941619","652784208.633165","672406493.808618","636925741.128206","659919585.060602","651395612.079197","677649074.348058","686341024.737592","699547074.827117","775434466.044177","793524859.462293","811972560.811212","829057291.320615","844971894.811902","868947192.960797","891947355.063551","899084296.790843","902683033.231519","920285352.179201","940531629.759033","964985452.962115","993935016.280133","1028722741.78923","1049931295.86049","",
